Area,Year,Temperature_Change,Artificial surfaces (including urban and associated areas),Grassland,Herbaceous crops,Inland water bodies,Mangroves,Permanent snow and glaciers,Shrub-covered areas,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Sparsely natural vegetated areas,Terrestrial barren land,Tree-covered areas,Woody crops,AFOLU,Agricultural Soils,Agrifood Systems Waste Disposal,Agrifood systems,All sectors with LULUCF,All sectors without LULUCF,Burning - Crop residues,Crop Residues,Drained organic soils,Drained organic soils (CO2),Drained organic soils (N2O),Emissions from crops,Emissions from livestock,Emissions on agricultural land,Energy,Enteric Fermentation,Farm gate,Fertilizers Manufacturing,Fires in humid tropical forests,Fires in organic soils,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Forest fires,Forestland,IPCC Agriculture,IPPU,International bunkers,LULUCF,Land-use change,Manure Management,Manure applied to Soils,Manure left on Pasture,Net Forest conversion,On-farm energy use,Other,Pesticides Manufacturing,Pre- and post-production,Rice Cultivation,Savanna fires,Synthetic Fertilizers,Waste
Brunei Darussalam,1993,0.267,1.1,10.53,27.8,16.56,19.3,0.0,7.64,0.0,0.23,0.0,498.68,27.8,507.11626666666666,26.076,104.0769,553.14395,2680.376,2323.6699,0.0587333333333333,0.1855,331.0947,318.0302,13.0645,5.045066666666666,17.68446666666667,519.0250333333333,3015.0220000000004,8.2236,150.21713333333332,,8.9254,117.509,66.201325,0.0,,0.8262499999999999,22.970266666666664,8.9254,2.3705,31.508133333333333,1.5648000000000002,,475.6081333333333,368.8079,3.6514,4.982,7.844,844.6295,12.698933333333336,15.8205,2.0827666666666667,163.8752,7.294,0.0689333333333333,0.0,39.063
Cambodia,1993,0.324,4.85,1013.74,5776.69,429.0,43.21,0.0,1470.96,472.11,0.26,1.77,8856.4,165.13,15961.7664,1392.6015,828.7154333333333,11869.487975,13316.42535,9680.6274,65.9106,278.2765,0.0,0.0,0.0,5600.598866666667,4715.522266666667,14733.364433333334,1076.47,4747.9656,11114.0358,,1680.7160666666666,0.0,9.384166666666667,,,308.7093,43.20329999999999,3156.1750666666667,-741.1711,11114.0358,8.380733333333334,,4847.7306,3619.328633333333,844.1105333333334,316.0655,743.0865,5815.8377,0.0,455.8,5.510433333333334,819.4646499999999,7968.5564,797.9323333333333,55.173,404.75
Indonesia,1993,0.273,734.19,9060.99,23639.76,5500.41,4277.85,0.0,6732.9,0.0,1600.48,0.0,123847.7,15761.14,583976.0081333333,28230.079,44313.5966,479304.338525,542617.5288,165992.69014999998,581.7304,3500.226,195281.2248,187410.3803,7870.8445,52109.52806666666,24165.426066666667,588195.6825333334,116000.0,22172.9144,146410.39106666666,924.5974,2880.8240666666666,147476.45415,1307.303025,210.86300000000003,671.7136333333333,533.5781,1539.0322,2931.9108666666666,-137552.10025,75910.8483,5526.7477,,389139.7761500001,441785.2914666667,3874.7868,2391.625,5871.393,661056.19695,2130.7077,2968.0,1378.8559333333333,38157.576625,65195.48,287.39046666666667,8595.9905,14166.366666666669
Lao People's Democratic Republic,1993,0.248,3.23,1293.59,2569.74,224.64,0.0,0.0,8063.66,88.67,0.0,0.0,10668.13,212.27,8733.3673,832.206,269.6049,6395.9097,9537.277166666669,5178.5400666666665,20.8902,107.007,0.0,0.0,0.0,1111.0444,3107.614,8136.925166666667,519.6466666666666,3182.6928,4390.158466666667,,956.5566666666668,0.0,4.796133333333334,,,146.7852,18.45586666666667,1662.5148666666666,-281.9634,4374.6302,6.7098,,4358.7371,3746.7667,509.3488,205.693,509.012,8370.6301,15.528266666666669,200.34,0.2407666666666666,293.215825,1517.7568,155.95413333333332,10.494,146.23
Malaysia,1993,0.273,118.52,1504.63,834.41,602.25,625.59,0.0,1178.73,0.0,7.83,0.0,23069.75,5191.11,42822.07393333333,4144.82525,3747.5578,27415.389225,60865.49895,33182.86045,23.813866666666662,150.7055,21473.0332,20608.2322,864.801,3548.477666666667,1781.5007333333333,30688.716066666664,33324.53333333333,1430.569,12784.620866666666,79.2006,178.45126666666667,5410.96025,801.3149249999999,0.0,,4.2629,664.1554333333333,185.02266666666665,36390.322,5329.521299999999,1309.6935,,-28893.9215,17904.0952,488.7337,224.667,352.2115,42355.0113,3.320866666666667,596.25,352.91910000000007,4398.852175,3473.8844,5.376866666666667,1660.808,2863.6333333333337
Myanmar,1993,0.106,40.04,4310.44,17154.99,1254.84,440.81,1.31,14855.83,58.79,1.67,0.86,28191.44,909.78,74579.04393333333,5870.4655,4130.1923,59587.085725,60956.05475,30713.9413,203.1532,1280.1885,14811.6012,14206.9772,604.624,17305.6512,16048.631,74859.60336666666,4570.433333333333,16885.6772,39122.713,33.93685,5869.366666666666,2248.38265,40.1417,0.0,0.0,243.718625,57.2867,7561.126,-5524.4725,34256.226,118.6968,,40322.81793333333,35736.89036666667,2355.1028666666666,1056.237,2598.3515,85105.8058,130.82793333333333,720.8,1.2602666666666666,3442.3832,24042.494,498.8788,331.0645,1486.4666666666665
Philippines,1993,0.295,77.92,2123.01,7267.1,1500.33,640.86,0.0,1399.95,0.0,145.85,0.0,11282.89,5937.83,32277.22053333333,5569.9555,5927.457933333334,36418.412375,43671.77975,43041.0238,326.65246666666667,946.898,0.0,0.0,0.0,22932.46813333333,8476.825666666666,39254.84176666667,19719.533333333336,7623.084,31857.094433333332,56.8165,25.979466666666667,0.0,384.44005,27.8179,704.5069333333334,1095.131075,558.3777666666666,42.896800000000006,-19720.9702,31436.2126,1144.2143500000002,,841.0079333333334,7397.747333333333,1788.2866666666666,666.157,1743.541,22115.3036,420.8818333333333,712.85,93.18073333333336,6977.2810500000005,30748.4632,26.938333333333333,2213.3595,4231.433333333333
Singapore,1993,,8.38,3.72,23.19,9.69,6.15,0.0,1.12,0.0,0.16,0.0,9.19,4.64,-4.817900000000002,21.1735,126.2107,658.11595,14268.935575,14284.5161,,,0.0,0.0,0.0,13.8065,6.769466666666666,24.376500000000004,17002.48,0.5852,24.372766666666667,,0.0037333333333333,0.0,288.03035,9.401366666666666,,61.942125,250.86926666666668,0.0037333333333333,-62.3333,15.956133333333334,986.169,,-20.77403333333333,0.0037333333333333,1.4503333333333333,3.0475,4.3195,0.0,8.416633333333333,134.62,,639.833575,,0.0,13.8065,578.0733333333334
Thailand,1993,0.281,96.71,3933.78,24613.84,964.13,322.96,0.0,5481.44,11.46,30.3,0.24,11242.89,4840.65,51710.9027,10458.1455,10898.229033333331,53532.673200000005,85462.99752500001,83155.24815,427.6126,1839.471,1141.7907,1093.8787,47.912,31351.908266666665,17048.246,53357.77123333333,48108.63333333333,17373.3588,51009.011,549.944,1387.6336,83.53829999999999,1292.121,334.9398,2175.3375,933.426475,1334.4427333333333,1726.5696,74.0301,48633.90353333333,4327.2905,,3076.999166666667,2348.7602333333334,2580.8988,1268.4225,3059.2395,2716.3033,2010.4812333333327,1661.55,125.46613333333332,13514.344775,40303.872,201.80793333333332,4243.1005,7253.706666666666
Viet Nam,1993,0.256,75.35,1835.53,9913.05,890.41,186.25,0.0,5644.05,56.98,6.2,18.65,11935.44,2233.85,12273.622566666669,7625.322,4073.637733333333,33300.5052,24618.456375,42575.38605,263.4465333333333,1611.4385,4054.5601,3895.9841,158.576,25027.02506666667,10957.8352,38306.6434,15451.033333333336,9506.9548,37977.5649,40.8944,163.00206666666665,249.11465,156.90736666666666,0.0,0.0,1162.33775,163.1255,513.5782,-77762.6667,36216.19546666666,535.9219499999999,,-23942.5729,329.0785,2794.651333333333,985.2965,1752.5245,0.0,462.7080666666666,575.05,136.94443333333334,4570.52265,32416.4456,125.616,3117.4865,4002.023333333333
